"","X","PLOT","P.NP","No.Plants.est","No.Stems","Senescence","Treatment","Sowing","Location","M.Height","M.Thickness","M.Leaves","Year","BioM.Index","BioM.Index_NA","Harvist","Harvist_NA","DW","DW_NA","MC","Germ.First.20","Germ.First.32","Germ.First.50","Germ.15.43","Temp1","Temp5","Temp15","Temp40","Wat1","Wat5","Wat15","Wat40"
"65","V66",33,"P",9,10,10,"Film",6,"Aber",4.166666667,2.666666667,4.666666667,"2013 Dat",41.66666667,41.66666667,NA,NA,NA,NA,NA,6.5,14.5,15.42857143,18.4,16.6435416666667,16.9225,16.3443541666667,15.6169027777778,0.0645416666666667,0.0622833333333333,0.0622333333333333,0.0705654761904762
"66","V67",33,"NP",13,13,10,"Film",6,"Aber",3.5,2.333333333,3.333333333,"2013 Dat",45.5,45.5,NA,NA,NA,NA,NA,12,29,31.28571429,38.8,16.6435416666667,16.9225,16.3443541666667,15.6169027777778,0.0645416666666667,0.0622833333333333,0.0622333333333333,0.0705654761904762
"67","V68",34,"P",0,0,NA,"Film",7,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0.666666667,2.6,4.285714286,4.4,12.1834791666667,12.3153125,12.3153125,12.3153125,0.054375,0.109510416666667,0.109510416666667,0.109510416666667
"68","V69",34,"NP",33,33,10,"Film",7,"Aber",2.125,1.1,3,"2013 Dat",70.125,70.125,NA,NA,NA,NA,NA,8,12.6,16.14285714,15.6,12.1834791666667,12.3153125,12.3153125,12.3153125,0.054375,0.109510416666667,0.109510416666667,0.109510416666667
"69","V70",35,"P",10,23,8,"Film",5,"Aber",6.857142857,3.857142857,4.285714286,"2013 Dat",157.7142857,157.7142857,NA,NA,NA,NA,NA,7,8.4,11.14285714,12,18.704375,18.1827916666667,17.9317777777778,17.0981328125,0.074125,0.0843583333333333,0.0955333333333333,0.081990625
"70","V71",35,"NP",20,54,7,"Film",5,"Aber",8.307692308,3,4.230769231,"2013 Dat",448.6153846,448.6153846,NA,NA,NA,NA,NA,22,27,30.28571429,33.6,18.704375,18.1827916666667,17.9317777777778,17.0981328125,0.074125,0.0843583333333333,0.0955333333333333,0.081990625
"71","V72",36,"P",8,8,10,"Film",6,"Aber",3.183333333,1.5,2.833333333,"2013 Dat",25.46666666,25.46666666,NA,NA,NA,NA,NA,2.5,4.25,4.857142857,5.8,16.6435416666667,16.9225,16.3443541666667,15.6169027777778,0.0645416666666667,0.0622833333333333,0.0622333333333333,0.0705654761904762
"72","V73",36,"NP",27,27,10,"Film",6,"Aber",3.681818182,1.818181818,3.181818182,"2013 Dat",99.40909091,99.40909091,NA,NA,NA,NA,NA,24,43,51.71428571,63.6,16.6435416666667,16.9225,16.3443541666667,15.6169027777778,0.0645416666666667,0.0622833333333333,0.0622333333333333,0.0705654761904762
"73","V74",37,"P",0,0,NA,"Film",8,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,1.666666667,4,5.2,6.5,NA,NA,NA,NA,NA,NA,NA,NA
"74","V75",37,"NP",0,0,NA,"Film",8,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,3.666666667,7,8.4,10.5,NA,NA,NA,NA,NA,NA,NA,NA
