"","no","Location","PlotID","seed batch","treatment","Sowing","141","161","171","183","190","197","204","211","217","227","231","239","246","255","259","267","273","281","288","295","309","323","336","283","Germ.First.20","Germ.First.32","Germ.First.50","Germ.15.43"
"77",78,"Aber",39,"sin55_unprimed","Film",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,16,14,14,16,0,0,5.33333333333333,7.5,8.8,11
"78",77,"Aber",39,"Sin55_primed","Film",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,2,2,0,0,0.666666666666667,1.25,1.4,1.75
"79",79,"Aber",40,"Sin55_primed","none",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,1,1,2,3,1,2,2,1,0,0,0.5,0.857142857142857,0.8
"80",80,"Aber",40,"sin55_unprimed","none",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,2,2,18,16,15,15,15,0,0,0,0.25,3.28571428571429,1
"81",81,"Aber",41,"Sin55_primed","none",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"82",82,"Aber",41,"sin55_unprimed","none",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,13,16,0,0,0,0.5,3,3.75
"83",83,"Aber",42,"Sin55_primed","none",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0.25,0.571428571428571,0.6
"84",84,"Aber",42,"sin55_unprimed","none",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,4,3,3,17,10,8,8,8,0,0,0,1.75,4.28571428571429,2.6
"85",85,"Aber",43,"Sin55_primed","Film",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",86,"Aber",43,"sin55_unprimed","Film",1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.333333333333333,0.333333333333333
"87",87,"Aber",44,"Sin55_primed","none",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,3,5,0,0,0.333333333333333,0.75,1.2,1.5
"88",88,"Aber",44,"sin55_unprimed","none",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,8,17,15,0,0,0,2,5,6.25
"89",89,"Aber",45,"Sin55_primed","none",2,NA,18,23,28,22,28,28,31,30,31,40,54,71,69,69,80,79,74,74,89,86,95,75,88,20.5,23,23.8,22.75
"90",90,"Aber",45,"sin55_unprimed","none",2,NA,49,77,77,68,67,60,66,64,62,61,131,130,158,162,189,192,198,199,191,192,199,192,276,63,67.6666666666667,67.6,67.75
"91",91,"Aber",46,"Sin55_primed","Film",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,5,3,5,5,4,2,0,6,1.66666666666667,2.6,3.28571428571429,3.6
"92",92,"Aber",46,"sin55_unprimed","Film",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,2,3,2,1,0,3,0,0.2,0.857142857142857,0.6
"93",93,"Aber",47,"Sin55_primed","none",3,NA,NA,0,1,1,5,1,2,2,2,2,2,4,6,6,7,7,6,6,6,6,7,9,0,0.5,1.75,1.71428571428571,2
"94",94,"Aber",47,"sin55_unprimed","none",3,NA,NA,0,1,29,39,30,29,27,29,37,40,47,58,60,65,65,71,72,66,67,70,55,101,0.5,17.25,22.1428571428571,25.6
"95",95,"Aber",48,"Sin55_primed","Film",1,2,2,4,1,1,1,0,0,0,1,2,2,2,2,1,1,1,2,2,1,2,2,1,0,2,2,2.66666666666667,2.66666666666667
"96",96,"Aber",48,"sin55_unprimed","Film",1,0,6,2,8,4,5,5,5,5,4,6,7,6,6,12,14,14,14,13,14,14,14,22,0,0,0,2.66666666666667,2.66666666666667
"97",97,"Aber",49,"Sin55_primed","none",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"98",98,"Aber",49,"sin55_unprimed","none",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"99",99,"Aber",50,"Sin55_primed","Film",3,NA,NA,0,0,1,1,1,3,2,2,2,4,7,7,6,8,8,6,5,6,5,6,6,0,0,0.5,1.14285714285714,1.2
"100",100,"Aber",50,"sin55_unprimed","Film",3,NA,NA,0,42,63,71,75,82,80,78,112,174,178,194,205,214,217,239,246,124,148,192,229,314,21,44,59,66.6
"101",101,"Aber",51,"Sin55_primed","none",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,6,5,8,7,5,3,0,0.333333333333333,1.6,3,2.6
"102",102,"Aber",51,"sin55_unprimed","none",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,24,24,23,23,20,8,2,0,4.8,10.1428571428571,9.6
"103",103,"Aber",52,"Sin55_primed","Film",4,NA,NA,NA,NA,0,25,31,31,26,25,31,77,71,72,78,86,87,96,100,92,101,105,106,151,18.6666666666667,22.6,24.1428571428571,27.6
"104",104,"Aber",52,"sin55_unprimed","Film",4,NA,NA,NA,NA,0,47,49,46,50,48,68,92,89,99,139,141,144,143,139,141,140,145,145,176,32,38.4,44,48
"105",105,"Aber",53,"Sin55_primed","Film",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"106",106,"Aber",53,"sin55_unprimed","Film",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"107",107,"Aber",54,"Sin55_primed","none",5,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,1,1,1,1,1,1,0,0,1,1,0,1,0,0.666666666666667,1,1,1.2
"108",108,"Aber",54,"sin55_unprimed","none",5,NA,NA,NA,NA,NA,NA,NA,0,12,20,22,23,15,16,21,15,15,16,15,17,16,17,11,17,10.6666666666667,15.4,15.4285714285714,18.4
